Metrics for random_forest:

Accuracy: 0.8418

Classification Report:
              precision    recall  f1-score        support
0              0.999559  1.000000  0.999779    9068.000000
1              0.999668  0.999668  0.999668    9043.000000
2              0.645988  0.801371  0.715339    8901.000000
3              0.998516  1.000000  0.999257    8745.000000
4              0.936925  0.907053  0.921747    8876.000000
5              0.967227  0.998196  0.982468    8870.000000
6              0.993650  0.998992  0.996314    8928.000000
7              0.861734  0.920009  0.889919    8976.000000
8              0.943630  0.985588  0.964153    8951.000000
9              0.556847  0.354743  0.433391    8781.000000
10             0.661561  0.860536  0.748043    8884.000000
11             0.677750  0.737010  0.706139    8795.000000
12             0.833694  0.637325  0.722403    9077.000000
13             0.999443  1.000000  0.999721    8971.000000
14             0.688031  0.670247  0.679023    8937.000000
15             0.550528  0.386411  0.454096    9037.000000
16             0.690189  0.677060  0.683562    8884.000000
17             0.867550  0.916023  0.891128    8931.000000
18             0.999666  1.000000  0.999833    8986.000000
19             1.000000  1.000000  1.000000    8977.000000
20             0.708609  0.800045  0.751556    8827.000000
21             0.976653  0.991143  0.983844    9032.000000
22             0.715246  0.714126  0.714685    8941.000000
accuracy       0.841835  0.841835  0.841835       0.841835
macro avg      0.837942  0.841545  0.836351  205418.000000
weighted avg   0.838437  0.841835  0.836749  205418.000000

